aid,type,gender
Dr. John,guest,unknown
Levon Helm,guest,male
The Meters,guest,female
Sissy Spacek,guest,female
Richard Baskin,guest,male
Buster Holmes,guest,male
Fran Tarkenton,guest,male
Leo Sayer,guest,male
Donny Harper & The Voices Of Tomorrow,guest,male
Bob Dryden,guest,male
Ruth Gordon,guest,female
Chuck Berry,guest,male
Ricky Jay,guest,male
George Benson,guest,male
Andrew Duncan,guest,male
Diana Nyad,guest,female
Jodie Foster,guest,female
Brian Wilson,guest,male
George Harrison,guest,male
Olivia Harrison,guest,female
Jim Keltner,guest,male
Ron Wood,guest,male
Ry Cooder,guest,unknown
Flaco Jimenez,guest,unknown
Bruce McCall,crew,male
The Band,guest,female
Kinky Friedman,guest,unknown
John Prine,guest,male
George Schultz,guest,male
Garry Trudeau,guest,male
Stuff,guest,unknown
Norman Lear,guest,male
Caroll O'Connor,guest,unknown
Isabel Sanford,guest,female
Jean Stapleton,guest,male
Nancy Walker,guest,female
Richard Crenna,guest,male
Sherman Helmsley,guest,male
Boz Scaggs,guest,unknown
Kate Lear,guest,female
Taylor Mead,guest,male
Kris Kristofferson,guest,male
Rita Coolidge,guest,female
Louise Lasser,guest,female
The Preservation Hall Jazz Band,guest,female
Wendell Craig,guest,male
Doris Powell,crew,female
Charlie Lowe,guest,male
Jonathan Dorn,guest,male
Harlan Collins,guest,male
Joyce Everson,guest,female
Gordon Lightfoot,guest,male
Dyan Cannon,guest,female
Leon & Mary Russell,guest,male
Carly Simon,guest,female
Raquel Welch,guest,female
Phoebe Snow,guest,female
John Sebastian,guest,male
President Gerald Ford,guest,unknown
Ron Nessen,guest,male
Patti Smith Group,guest,female
Jerry Rubin,guest,male
Anthony Perkins,guest,male
Betty Carter,guest,female
Chuck Scarborough,guest,male
The Singing Idlers,guest,female
Desi Arnaz,guest,male
Desi Arnaz Jr.,guest,male
Jenny Shapiro,unknown,female
The Shapiro Sisters,guest,female
Marshall Efron,guest,male
Al Alen Petersen,guest,male
Peter Cook,guest,male
Neil Sedaka,guest,male
Abbie Hoffman,guest,female
Bill Withers,guest,male
Paula Kahn,guest,female
Albert Brooks,guest,male
Clifford Einstein,guest,male
James L. Brooks,guest,male
Julie Payne,guest,female
Martha Reeves,guest,female
The Stylistics,guest,female
Margaret Kuhn,guest,female
Richard Pryor,guest,male
Gil Scott-Heron,guest,male
Annazette Chase,guest,unknown
Kathrine McKee,guest,female
Thalmus Rasulala,guest,unknown
Shelley Pryor,guest,female
Abba,guest,unknown
Loudon Wainwright III,guest,unknown
Esther Phillips,guest,female
Kay Lenz,guest,male
Rene Auberjonois,guest,male
The Lockers,guest,female
Mark Hampton,guest,male
Jesse Dixon Singers,guest,male
Connie Hawkins,guest,female
Billy Preston,guest,male
Janis Ian,guest,female
Valri Bromfield,guest,unknown
