aid,type,gender
Hozier,guest,male
Sarah Silverman,cast,female
Adam Levine,unknown,male
Maroon 5,guest,male
Chris Pratt,guest,male
Anna Faris,guest,female
Seth Meyers,cast,male
Lil Jon,guest,male
John Milhiser,cast,male
Nasim Pedrad,cast,female
Noel Wells,cast,female
Brooks Wheelan,cast,male
St. Vincent,guest,unknown
Paul Rudd,guest,male
Pharrell Williams,guest,unknown
Tatiana Maslany,guest,female
Akiva Schaffer,crew,male
Jorma Taccone,crew,male
2 Chainz,guest,unknown
Charlize Theron,guest,female
The Black Keys,guest,female
Barbara Walters,guest,female
Andrew Garfield,guest,male
Kiefer Sutherland,guest,male
Mary Lynn Rajskub,guest,female
Coldplay,guest,unknown
Chris Martin,unknown,male
Taylor Swift,guest,female
Zooey Deschanel,guest,unknown
Anna Kendrick,guest,female
Icona Pop,guest,unknown
Hans Zimmer,guest,male
Liam Neeson,guest,male
Lena Dunham,guest,female
The National,guest,female
Jim Parsons,guest,male
Beck,guest,male
James Anderson,crew,male
Imagine Dragons,guest,unknown
Leonardo DiCaprio,guest,male
Bastille,guest,unknown
Michael Cera,guest,male
Jhene Aiko,guest,unknown
Justin Timberlake,guest,male
Barry Gibb,guest,male
Madonna,guest,female
Michael Bloomberg,guest,male
Caleb Followill,unknown,male
Jared Followill,unknown,male
Matthew Followill,unknown,male
Nathan Followill,unknown,male
Robert DeNiro,guest,male
Sylvester Stallone,guest,male
Kings of Leon,guest,unknown
Wale,guest,unknown
David Koechner,cast,male
Steve Carell,guest,male
R. Kelly,guest,unknown
Kerry Washington,guest,female
Eminem,guest,unknown
Rick Rubin,guest,male
Edward Norton,guest,male
Janelle Monae,guest,female
Bruce Willis,guest,male
Aaron Paul,guest,male
Regine Chassagne,unknown,female
William Butler,unknown,male
Win Butler,unknown,unknown
Arcade Fire,guest,male
Ben Affleck,guest,male
Jennifer Garner,guest,female
Anderson Cooper,guest,male
Tim Robinson,cast,male
Aimee Mann,guest,female
J. Mascis,guest,unknown
Kim Gordon,guest,female
Michael Penn,guest,male
Steve Jones,guest,male
Jim Downey,cast,male
John Solomon,crew,male
Vampire Weekend,guest,unknown
Zach Galifianakis,guest,male
Bradley Cooper,guest,male
Ed Helms,guest,male
Of Monsters And Men,guest,unknown
Vince Vaughn,guest,male
Miguel,guest,male
Dennis Rodman,guest,male
Phoenix,guest,unknown
Chevy Chase,cast,male
Adam Epstein,unknown,male
Macklemore,guest,unknown
Ryan Lewis,guest,male
Wanz,guest,unknown
Ray Dalton,guest,male
Christoph Waltz,guest,male
Justin Bieber,guest,male
Whoopi Goldberg,guest,female
Jerry Seinfeld,guest,male
Danny McBride,guest,male
Mickey Madden,guest,male
The Lumineers,guest,female
The New York City Children's Chorus,guest,female
Samuel L. Jackson,guest,male
Joe Walsh,guest,male
Dave Grohl,guest,male
Krist Novoselic,guest,male
Pat Smear,guest,unknown
Jamie Foxx,guest,male
Ne-Yo,guest,unknown
Dermot Mulroney,guest,male
Charlie Day,guest,male
Jeremy Renner,guest,male
Chris Christie,guest,male
Anne Hathaway,guest,female
Fun.,guest,unknown
Usain Bolt,guest,unknown
Christina Applegate,guest,female
Passion Pit,guest,unknown
Chris Parnell,cast,male
Daniel Craig,guest,male
Muse,guest,unknown
Big Bird,unknown,unknown
Joseph Gordon-Levitt,guest,male
Seth MacFarlane,guest,male
Psy,guest,unknown
Frank Ocean,guest,male
John Mayer,guest,male
Abby Elliott,cast,female
Mick Jagger,guest,male
Nikolai Fraiture,guest,male
Foo Fighters,guest,unknown
Jeff Beck,guest,male
Chris Kattan,cast,male
Kay Ferrell,guest,male
Ana Gasteyer,cast,female
Usher,guest,unknown
Julian Casablancas,guest,male
Michael Bolton,guest,male
Natalie Portman,guest,female
Eli Manning,guest,male
Abby McGrew,guest,female
Chris Snee,guest,male
David Baas,guest,male
David Diehl,guest,male
Shaun O'Hara,guest,male
Sacha Baron Cohen,guest,male
Martin Scorsese,guest,male
Josh Brolin,guest,male
Steven Spielberg,guest,male
Gotye,guest,unknown
Kimbra,guest,female
Sofia Vergara,guest,female
Manolo Gonzalez,guest,male
John McEnroe,guest,male
The Shins,guest,female
Lindsay Lohan,guest,female
Jack White,guest,male
Ruby Amanfu,guest,female
Phil Hyms,crew,male
Sleigh Bells,guest,unknown
Bill O'Reilly,guest,male
Kate Upton,guest,female
Jean Dujardin,guest,male
Karmin,guest,unknown
Nicolas Cage,guest,male
Channing Tatum,guest,male
Bon Iver,guest,unknown
Daniel Radcliffe,guest,male
Paul Brittain,cast,male
Lana Del Rey,guest,female
Charles Barkley,guest,male
Kelly Clarkson,guest,female
Horatio Sanz,cast,male
Jude Law,guest,male
Matt Damon,guest,male
Val Kilmer,guest,female
Robyn,guest,female
Steve Buscemi,guest,male
Jason Segel,guest,male
Jon Huntsman,guest,male
Kermit The Frog,unknown,male
Florence Welch,unknown,female
Olivia Wilde,guest,female
Alan Wong,crew,male
Shelly Gossman,crew,female
Travie McCoy,guest,unknown
Hugh Jackman,guest,male
Foster The People,guest,male
Kenny G,guest,male
Lady Antebellum,guest,unknown
Radiohead,guest,unknown
Patricia Clarkson,guest,female
Susan Sarandon,guest,female
Chris Colfer,guest,male
Lindsey Buckingham,guest,male
Stephen Colbert,crew,male
Robert Smigel,cast,male
Robin Wright,guest,female
Ellie Goulding,guest,female
Helen Mirren,guest,female
Elton John,guest,male
Carmelo Anthony,guest,male
Leon Russell,guest,male
Jake Gyllenhaal,guest,male
Jessie J,guest,female
B.o.B,guest,unknown
The Strokes,guest,female
Russell Brand,guest,male
Chris Brown,guest,male
Linkin Park,guest,unknown
Jesse Eisenberg,guest,male
Dex Carvey,guest,unknown
Tom Carvey,guest,male
Mark Zuckerberg,guest,male
John Waters,guest,male
Gwyneth Paltrow,guest,female
Cee Lo Green,guest,unknown
Pee-Wee Herman,guest,male
Jeff Bridges,guest,male
Cookie Monster,unknown,unknown
