impid,aid,imp_name
3645,Kate McKinnon,Greta Van Susteren
3602,Taran Killam,Donald Trump
3639,Taran Killam,George Clooney
3634,Bobby Moynihan,Danny DeVito
3643,Michael Che,Elijah Kelley
3642,Leslie Jones,Queen Latifah
3640,Jay Pharoah,Ne-Yo
3641,Kenan Thompson,David Alan Grier
3644,Sasheer Zamata,Shanice Williams
3465,Vanessa Bayer,Elisabeth Hasselbeck
3080,Taran Killam,Steve Doocy
3619,Kate McKinnon,Debbie Wasserman Schultz
3079,Bobby Moynihan,Brian Kilmeade
3583,Aidy Bryant,Wynonna Judd
3637,Taran Killam,David Beckham
3531,Kate McKinnon,Maggie Smith
3635,Bobby Moynihan,George Lucas
2950,Jay Pharoah,Chris Tucker
3636,Jon Rudnitsky,John Mayer
3494,Cecily Strong,Sofia Vergara
3638,Kate McKinnon,Ed Sheeran
3632,Leslie Jones,Sonya Carson
3625,Taran Killam,Martin O'Malley
3245,Cecily Strong,Rachel Maddow
3628,Beck Bennett,Enrique Peña Nieto
3474,Jay Pharoah,Drake
3630,Kenan Thompson,Toots Hibbert
3621,Alec Baldwin,Jim Webb
3624,Kyle Mooney,Lincoln Chafee
3623,Jon Rudnitsky,Anderson Cooper
3627,Taran Killam,Owen Wilson
3626,Kyle Mooney,Chuck Norris
3259,Bobby Moynihan,Steven Seagal
3620,Pete Davidson,Jason Chaffetz
3610,Vanessa Bayer,Rachel Dolezal
3603,Aidy Bryant,Kim Davis
3607,Michael Che,Meek Mill
3609,Taran Killam,Walter Palmer
3606,Kate McKinnon,Martin Shkreli
3458,Kyle Mooney,Pope Francis
3604,Bobby Moynihan,Jared Fogel
3605,Bobby Moynihan,Josh Duggar
3608,Sasheer Zamata,Lenny Kravitz
3611,Miley Cyrus,Roxane Gilmore
3612,Beck Bennett,Jim Gilmore
3616,Taran Killam,Rick Santorum
3615,Kate McKinnon,Janet Huckabee
3613,Bobby Moynihan,Mike Huckabee
3614,Cecily Strong,Karen Santorum
3617,Cecily Strong,Huma Abedin
3618,Miley Cyrus,Hayley Mills
3546,Taran Killam,Tom Brady
3595,Beck Bennett,Mike Huckabee
3298,Taran Killam,Marco Rubio
3596,Kate McKinnon,Carly Fiorina
3564,Bobby Moynihan,Ted Cruz
3597,Kenan Thompson,Ben Carson
3599,Cecily Strong,Rosie Perez
3600,Kenan Thompson,Reginald VelJohnson
3586,Aidy Bryant,Manny Pacquiao
3588,Taran Killam,Michael Buffer
3587,Jay Pharoah,Floyd Mayweather
3589,Kate McKinnon,Hozier
3590,Scarlett Johansson,Amber Theoharis
3594,Vanessa Bayer,Donna Hamilton
3593,Taran Killam,Jim Palmer
3591,Jay Pharoah,Manny Machado
3592,Kenan Thompson,Frank Robinson
3576,Taraji P. Henson,Nicki Minaj
3580,Pete Davidson,Ninja
3579,Leslie Jones,Missy Elliott
3581,Taran Killam,Jim Parsons
3578,Kate McKinnon,Yolandi Visser
3577,Jay Pharoah,Kendrick Lamar
3384,Kenan Thompson,Rick Ross
3435,Sasheer Zamata,Rihanna
3084,Kenan Thompson,"Ice Cube , Dimitrius"
3582,Taraji P. Henson,Wanda Sykes
3493,Beck Bennett,Nick Offerman
3569,Taran Killam,Vin Diesel
3340,Kate McKinnon,Jane Lynch
3585,Jay Pharoah,Common
3572,Beck Bennett,Ernie Johnson Jr.
3573,Taran Killam,Mike Krzyzewski
3173,Jay Pharoah,Kenny Smith
3575,Jay Pharoah,Don Lemon
3348,Taran Killam,John Boehner
3565,Kyle Mooney,Tom Cotton
3479,Sasheer Zamata,Michelle Obama
3567,Jay Pharoah,Ludacris
3568,Jay Pharoah,"Tyrese Gibson , Flower"
3566,Cecily Strong,"Michelle Rodriguez , Faline"
3571,Kate McKinnon,Robert Durst
3570,Cecily Strong,Jeanine Pirro
3485,Kenan Thompson,"Terrence Howard , Lucious"
3560,Sasheer Zamata,"Taraji P. Henson , Cookie"
3562,Kate McKinnon,Iggy Azalea
3561,Jay Pharoah,T.I.
3563,Sasheer Zamata,Azealia Banks
3557,Dakota Johnson,Caroline Giuliani
3081,Vanessa Bayer,Gretchen Carlson
3558,Taran Killam,Rudolph Giuliani
2991,Jay Pharoah,Kanye West
3559,Taran Killam,Vinton Cerf
3555,Taran Killam,Pete Carroll
3553,Jay Pharoah,Richard Sherman
3554,Kenan Thompson,Marshawn Lynch
3545,Beck Bennett,Bill Belichick
3062,Kenan Thompson,Greg Gumbel
3547,Beck Bennett,Harry Connick Jr.
3552,Taran Killam,Adam Levine
3533,Kate McKinnon,Keith Urban
3550,Kyle Mooney,Steven Tyler
3549,Jay Pharoah,Pharrell Williams
3548,Cecily Strong,Christina Aguilera
3551,Sasheer Zamata,Nicki Minaj
3283,Kenan Thompson,Martin Luther King Jr.
3543,Cecily Strong,Lara Stone
3544,Kevin Hart,James Brown (I)
3515,Taran Killam,Sam Smith
3535,Kate McKinnon,Dana Chivvis
3534,Cecily Strong,Sarah Koenig
3536,Fred Armisen,Raúl Castro
3537,Beck Bennett,Fidel Castro
3541,Pete Davidson,Elian Gonzalez
3542,Taran Killam,Pitbull
3539,Kate McKinnon,Diana Nyad
2949,Bobby Moynihan,Jorge Garcia
3538,Cecily Strong,Gloria Estefan
3540,Kenan Thompson,Cuba Gooding Jr.
3530,Taran Killam,Charlie Rose
3529,Kyle Mooney,Bruce Jessen
3528,Bobby Moynihan,James Mitchell
3532,Taran Killam,Alan Rickman
3519,James Franco,Christopher Walken
3520,Cecily Strong,Allison Williams
